lr-AdamW,step,val_loss,val_acc,epoch,train_loss,train_acc
,202,,,33,0.19081246852874756,1.0
,203,,,33,0.06278201192617416,1.0
,203,0.33112847805023193,0.6666666865348816,33,,
0.0036,204,,,,,
,204,,,34,0.03225618600845337,1.0
,205,,,34,0.02396545559167862,1.0
,206,,,34,0.00013419240713119507,1.0
,207,,,34,0.15383949875831604,0.75
,208,,,34,5.875527858734131e-05,1.0
,209,,,34,0.1872090995311737,0.875
,209,0.3349851369857788,0.6666666865348816,34,,
0.0036,210,,,,,
,210,,,35,0.06786312162876129,1.0
,211,,,35,0.007669411599636078,1.0
,212,,,35,0.23341818153858185,0.875
,213,,,35,0.07588349282741547,1.0
,214,,,35,0.06255094707012177,1.0
,215,,,35,7.37607479095459e-06,1.0
,215,0.33527255058288574,0.6666666865348816,35,,
0.0036,216,,,,,
,216,,,36,0.0034995079040527344,1.0
,217,,,36,0.06574787199497223,1.0
,218,,,36,0.06763631105422974,1.0
,219,,,36,0.09539675712585449,1.0
,220,,,36,0.06524920463562012,1.0
,221,,,36,0.19866648316383362,0.75
,221,0.33496248722076416,0.6666666865348816,36,,
0.0036,222,,,,,
,222,,,37,0.06357626616954803,1.0
,223,,,37,0.21863865852355957,0.75
,224,,,37,0.07756198942661285,1.0
,225,,,37,0.08132937550544739,0.875
,226,,,37,0.004881903529167175,1.0
,227,,,37,0.25818005204200745,0.75
,227,0.3351176679134369,0.6666666865348816,37,,
0.0036,228,,,,,
,228,,,38,0.10978135466575623,0.875
,229,,,38,0.09731938689947128,1.0
,230,,,38,0.10427826642990112,0.875
,231,,,38,0.11866674572229385,0.875
,232,,,38,0.051101721823215485,0.875
,233,,,38,0.09171700477600098,1.0
,233,0.33536574244499207,0.6666666865348816,38,,
0.00216,234,,,,,
,234,,,39,0.13285507261753082,0.875
,235,,,39,0.1209258884191513,0.875
,236,,,39,0.11558903008699417,0.875
,237,,,39,0.125,1.0
,238,,,39,0.03316640108823776,1.0
,239,,,39,0.1194150298833847,1.0
,239,0.3318057358264923,0.6666666865348816,39,,
